date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:20:38	1490/1490	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2003%20May%202025%2012:20:37%20GMT	https://privacybrasil.xyz/robots.txt		(from )
09:20:38	1011194/1011194	---MCZ	200	added ('OK')	text/html	etag:W/%22d3a0032c43864364019d747d841216b2%22	https://privacybrasil.xyz/?fbclid=IwY2xjawKC6T5leHRuA2FlbQIxMABicmlkETFoU1JGWnNwbFJCS2lySElPAR4KDU89xnYvpukJITHkrQCNut9LMQUD5eApxjWtw1V9pPFErVg9d7crrFg0Zw_aem_Gm7KpZudd5ZvYfX3SIckyg	C:/Users/jotar/Desktop/SIMARIA%20MELHORADA/privacybrasil.xyz/index6a67.html	(from )
09:20:39	344560/344560	---M--	200	added ('OK')	image/png	etag:%22d877daafe71fe69e0a8ba256bebdc03c-ssl%22	https://kamylinhaprive.netlify.app/images/avatar2.png	C:/Users/jotar/Desktop/SIMARIA%20MELHORADA/kamylinhaprive.netlify.app/images/avatar2.png	(from https://privacybrasil.xyz/?fbclid=IwY2xjawKC6T5leHRuA2FlbQIxMABicmlkETFoU1JGWnNwbFJCS2lySElPAR4KDU89xnYvpukJITHkrQCNut9LMQUD5eApxjWtw1V9pPFErVg9d7crrFg0Zw_aem_Gm7KpZudd5ZvYfX3SIckyg)
09:20:39	581909/581909	---M--	200	added ('OK')	image/png	etag:%22845f69919a7b3b9566c9beab23786dd7-ssl%22	https://kamylinhaprive.netlify.app/images/asd.png	C:/Users/jotar/Desktop/SIMARIA%20MELHORADA/kamylinhaprive.netlify.app/images/asd.png	(from https://privacybrasil.xyz/?fbclid=IwY2xjawKC6T5leHRuA2FlbQIxMABicmlkETFoU1JGWnNwbFJCS2lySElPAR4KDU89xnYvpukJITHkrQCNut9LMQUD5eApxjWtw1V9pPFErVg9d7crrFg0Zw_aem_Gm7KpZudd5ZvYfX3SIckyg)
09:20:40	3739/3739	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2003%20May%202025%2012:20:40%20GMT	https://privacybrasil.xyz/promo.html	C:/Users/jotar/Desktop/SIMARIA%20MELHORADA/privacybrasil.xyz/promo.2.delayed	(from https://privacybrasil.xyz/?fbclid=IwY2xjawKC6T5leHRuA2FlbQIxMABicmlkETFoU1JGWnNwbFJCS2lySElPAR4KDU89xnYvpukJITHkrQCNut9LMQUD5eApxjWtw1V9pPFErVg9d7crrFg0Zw_aem_Gm7KpZudd5ZvYfX3SIckyg)
09:20:40	3449/3449	---MCZ	404	error ('Not%20Found')	text/html	etag:1744656303-ssl-df	https://kamylinhaprive.netlify.app/js/latest_1.js	C:/Users/jotar/Desktop/SIMARIA%20MELHORADA/kamylinhaprive.netlify.app/js/latest_1.3.delayed	(from https://privacybrasil.xyz/?fbclid=IwY2xjawKC6T5leHRuA2FlbQIxMABicmlkETFoU1JGWnNwbFJCS2lySElPAR4KDU89xnYvpukJITHkrQCNut9LMQUD5eApxjWtw1V9pPFErVg9d7crrFg0Zw_aem_Gm7KpZudd5ZvYfX3SIckyg)
09:20:41	22819/22819	---MCZ	200	added ('OK')	application/javascript	etag:%22e8578fbef19e7b04ce7387f56478e2de-ssl-df%22	https://kamylinhaprive.netlify.app/js/latest.js	C:/Users/jotar/Desktop/SIMARIA%20MELHORADA/kamylinhaprive.netlify.app/js/latest.js	(from https://privacybrasil.xyz/?fbclid=IwY2xjawKC6T5leHRuA2FlbQIxMABicmlkETFoU1JGWnNwbFJCS2lySElPAR4KDU89xnYvpukJITHkrQCNut9LMQUD5eApxjWtw1V9pPFErVg9d7crrFg0Zw_aem_Gm7KpZudd5ZvYfX3SIckyg)
09:20:41	2713/2713	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a99-195e249c7e8%22	https://analytics-replic-production.up.railway.app/script.js	C:/Users/jotar/Desktop/SIMARIA%20MELHORADA/analytics-replic-production.up.railway.app/script.js	(from https://privacybrasil.xyz/?fbclid=IwY2xjawKC6T5leHRuA2FlbQIxMABicmlkETFoU1JGWnNwbFJCS2lySElPAR4KDU89xnYvpukJITHkrQCNut9LMQUD5eApxjWtw1V9pPFErVg9d7crrFg0Zw_aem_Gm7KpZudd5ZvYfX3SIckyg)
09:20:41	172/172	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Sat,%2003%20May%202025%2012:20:41%20GMT	https://privacybrasil.xyz/%22https://cdn.utmify.com.br/scripts/utms/latest.js%22	C:/Users/jotar/Desktop/SIMARIA%20MELHORADA/privacybrasil.xyz/_https_/cdn.utmify.com.br/scripts/utms/latest.6.delayed	(from https://privacybrasil.xyz/?fbclid=IwY2xjawKC6T5leHRuA2FlbQIxMABicmlkETFoU1JGWnNwbFJCS2lySElPAR4KDU89xnYvpukJITHkrQCNut9LMQUD5eApxjWtw1V9pPFErVg9d7crrFg0Zw_aem_Gm7KpZudd5ZvYfX3SIckyg)
09:20:42	3739/3739	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2003%20May%202025%2012:20:42%20GMT	https://privacybrasil.xyz/%22https:/cdn.utmify.com.br/scripts/utms/latest.js%22	C:/Users/jotar/Desktop/SIMARIA%20MELHORADA/privacybrasil.xyz/_https_/cdn.utmify.com.br/scripts/utms/latest.7.delayed	(from https://privacybrasil.xyz/?fbclid=IwY2xjawKC6T5leHRuA2FlbQIxMABicmlkETFoU1JGWnNwbFJCS2lySElPAR4KDU89xnYvpukJITHkrQCNut9LMQUD5eApxjWtw1V9pPFErVg9d7crrFg0Zw_aem_Gm7KpZudd5ZvYfX3SIckyg)
09:20:42	33252/33252	---MCZ	200	added ('OK')	text/javascript	etag:W/%225f2b003925600a48e5ef97101a30327e%22	https://cdn.utmify.com.br/scripts/pixel/pixel.js	C:/Users/jotar/Desktop/SIMARIA%20MELHORADA/cdn.utmify.com.br/scripts/pixel/pixel.js	(from https://privacybrasil.xyz/?fbclid=IwY2xjawKC6T5leHRuA2FlbQIxMABicmlkETFoU1JGWnNwbFJCS2lySElPAR4KDU89xnYvpukJITHkrQCNut9LMQUD5eApxjWtw1V9pPFErVg9d7crrFg0Zw_aem_Gm7KpZudd5ZvYfX3SIckyg)
